State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade,tempmax,tempmin,humidity,precip,uvindex
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,100.7,200,1000,600,2023-04-17,FAQ,104.0,74.9,30.1,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.1,2000,6000,3750,2023-11-09,FAQ,86.0,62.9,66.4,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.2,200,800,500,2023-05-17,FAQ,104.4,81.1,33.4,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.2,1500,5000,3600,2024-10-08,FAQ,94.4,73.4,64.2,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.3,1500,3000,2000,2025-02-15,FAQ,79.5,53.6,52.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.4,1500,2500,1950,2023-11-04,FAQ,83.3,65.1,75.8,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.4,2000,4500,3300,2024-03-07,FAQ,77.5,52.7,51.3,0.0,9
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.7,2000,5000,3700,2023-10-11,FAQ,94.1,72.4,55.9,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.9,1500,4000,2550,2024-02-12,FAQ,72.0,49.2,79.1,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,101.9,1500,4000,2550,2024-02-17,FAQ,77.9,49.4,62.1,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,102.0,1500,3000,2250,2024-01-18,FAQ,64.4,44.6,86.7,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,102.1,1500,4000,3000,2024-12-21,FAQ,72.4,47.4,74.0,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,102.2,1500,2500,2100,2023-12-30,FAQ,66.9,55.1,90.0,0.0,4
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,102.2,2400,7500,5800,2024-10-26,FAQ,91.4,67.7,58.3,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,103.5,2300,6000,3950,2024-11-13,FAQ,80.0,64.4,84.3,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,103.6,1000,2000,1300,2023-11-15,FAQ,79.6,55.6,70.2,0.0,7
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,103.9,500,1800,1150,2023-01-03,FAQ,59.6,46.2,85.6,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,104.9,1500,4000,2300,2024-02-09,FAQ,72.9,48.2,57.9,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,105.2,2000,5000,4050,2024-08-20,FAQ,90.0,77.7,86.5,0.039,5
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,105.2,2000,5000,4200,2024-05-01,FAQ,91.3,71.5,20.8,0.0,10
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,105.4,500,2000,1400,2023-01-04,FAQ,59.0,44.3,90.1,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,105.5,500,1800,1150,2023-01-02,FAQ,62.6,48.2,87.9,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,105.7,1000,3000,2250,2024-12-04,FAQ,78.8,55.4,58.4,0.0,6
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,105.7,1500,4000,2700,2024-02-06,FAQ,67.2,48.2,72.9,0.0,8
NCT of Delhi,Delhi,Azadpur,Capsicum,Vegetables,106.0,2000,5000,3500,2024-04-09,FAQ,98.6,68.3,26.4,0.0,9
